name,Symbol
Znf264,
Gpr1,Gpr1
Zdbf2,Zdbf2
Mcts2,Mcts2
Mir296,Mir296
Mir298,Mir298
Sfmbt2,Sfmbt2
Wt1,Wt1
Gatm,Gatm
H13,H13
Nnat,Nnat
Blcap,Blcap
Nespas,Nespas
Gnas,Gnas
L3mbtl,L3mbtl1
Ngfb,Ngf
Gnai3,Gnai3
Lin28a,Lin28a
Trp73,Trp73
Magi2,Magi2
Il6,Il6
Mkrn1-ps1,Mkrn1-ps1
Mir335,Mir335
Pon1,Pon1
Pon3,Pon3
Ppp1r9a,Ppp1r9a
Peg10,Peg10
Asb4,Asb4
Tfpi2,Tfpi2
Sgce,Sgce
Dlx5,Dlx5
Calcr,Calcr
Mest,Mest
Pon2,Pon2
Cpa4,Cpa4
Copg2,Copg2
Klf14,Klf14
Nap1l5,Nap1l5
Ano1,Ano1
Peg3os,Peg3os
LOC101055709,Zfp264
Dhcr7,Dhcr7
Usp29,Usp29
Peg3,Peg3
Zim1,Zim1
Zfp264,Zfp264
Zim3,Zim3
Tgfb1,Tgfb1
Ndn,Ndn
Magel2,Magel2
Peg12,Peg12
Gabrg3,Gabrg3
Gabra5,Gabra5
Gabrb3,Gabrb3
Ube3a,Ube3a
Zfp127as,Mkrn3os
Snrpn,Snrpn
Pwcr1,Snord116p
Mkrn3,Mkrn3
Ampd3,Ampd3
Tspan32,Tspan32
H19,H19
Igf2,Igf2
Igf2as,Igf2os
Ins2,Ins2
Th,Th
Ascl2,Ascl2
Cd81,Cd81
Tssc4,Tssc4
Kcnq1,Kcnq1
Kcnq1ot1,Kcnq1ot1
Slc22a18,Slc22a18
Phlda2,Phlda2
AF313042,AF313042
Cdkn1c,Cdkn1c
Nap1l4,Nap1l4
Tnfrsf23,Tnfrsf23
Tnfrsf22,Tnfrsf22
AK155734,AK155734
Tnfrsf26,Tnfrsf26
Osbpl5,Osbpl5
Nctc1,Nctc1
Zim2,Zim2
Atp10a,Atp10a
Snurf,Snurf
Inpp5f V2,Inpp5f
Trpm5,Trpm5
Gab1,Gab1
Musd2,Musd2
Ntm,Ntm
Zc3h12c,Zc3h12c
Snx14,Snx14
Mir184,Mir184
Rasgrf1,Rasgrf1
Sdhd,Sdhd
Hymai,Hymai
Lin28b,Lin28b
Plagl1,Plagl1
Dcn,Dcn
Ctnna3,Ctnna3
Ccdc40,Ccdc40
Ddc,Ddc
Grb10,Grb10
Zrsr1,Zrsr1
Commd1,Commd1
U2af1-rs1,Zrsr1
AF357355,AF357355
Mir370,Mir370
AF357359,AF357359
Mir337,Mir337
Mir376b,Mir376b
Mir154,Mir154
Mir136,Mir136
B830012L14Rik,
Mir134,Mir134
Mir380,Mir380
Mir127,Mir127
Mir431,Mir431
Mir411,Mir411
Mir410,Mir410
Dlk1,Dlk1
Gtl2,Meg3
AF357426,AF357426
AF357341,AF357341
AF357425,AF357425
AF357428,AF357428
Rian,Rian
Rtl1,Rtl1
Dio3,Dio3
Begain,Begain
Mirg,Mirg
Rb1,Rb1
Htr2a,Htr2a
Zfat,Zfat
Peg13,Peg13
Kcnk9,Kcnk9
Slc38a4,Slc38a4
Slc22a3,Slc22a3
Slc22a2,Slc22a2
Igf2r,Igf2r
Air,Airn
Impact,Impact
Glis3,Glis3
Ins1,Ins1
Rhox5,Rhox5
Tsix,Tsix
Jpx,Jpx
Ftx,Ftx
Zcchc13,Zcchc13
Xist,Xist
