sample_name,data_source,bsf_name,flowcell,lane
A11,BSF,A11_S29301,BSF_0369_HLWLYBBXX,7
A6T8,BSF,A6T8_S29304,BSF_0369_HLWLYBBXX,7
A7_P8,BSF,A7_P8_S29300,BSF_0369_HLWLYBBXX,7
FuseB,BSF,FuseB_S29297,BSF_0369_HLWLYBBXX,7
Hrex,BSF,Hrex_S29299,BSF_0369_HLWLYBBXX,7
Mekl_2_fem_P8_C_ER,BSF,Mekl_2_fem_P8_C_ER_S29305,BSF_0369_HLWLYBBXX,7
nu_nu_kidney,BSF,nu_nu_kidney_S29308,BSF_0369_HLWLYBBXX,7
P1_P8,BSF,P1_P8_S29302,BSF_0369_HLWLYBBXX,7
Rex_hom_fem_P17,BSF,Rex_hom_fem_P17_S29307,BSF_0369_HLWLYBBXX,7
S_129_B6_fem_P17,BSF,S_129_B6_fem_P17_S29306,BSF_0369_HLWLYBBXX,7
S_129_male_P8,BSF,S_129_male_P8_S29298,BSF_0369_HLWLYBBXX,7
T8,BSF,T8_S29303,BSF_0369_HLWLYBBXX,7
A11,BSF,A11_S29301,BSF_0369_HLWLYBBXX,8
A6T8,BSF,A6T8_S29304,BSF_0369_HLWLYBBXX,8
A7_P8,BSF,A7_P8_S29300,BSF_0369_HLWLYBBXX,8
FuseB,BSF,FuseB_S29297,BSF_0369_HLWLYBBXX,8
Hrex,BSF,Hrex_S29299,BSF_0369_HLWLYBBXX,8
Mekl_2_fem_P8_C_ER,BSF,Mekl_2_fem_P8_C_ER_S29305,BSF_0369_HLWLYBBXX,8
nu_nu_kidney,BSF,nu_nu_kidney_S29308,BSF_0369_HLWLYBBXX,8
P1_P8,BSF,P1_P8_S29302,BSF_0369_HLWLYBBXX,8
Rex_hom_fem_P17,BSF,Rex_hom_fem_P17_S29307,BSF_0369_HLWLYBBXX,8
S_129_B6_fem_P17,BSF,S_129_B6_fem_P17_S29306,BSF_0369_HLWLYBBXX,8
S_129_male_P8,BSF,S_129_male_P8_S29298,BSF_0369_HLWLYBBXX,8
T8,BSF,T8_S29303,BSF_0369_HLWLYBBXX,8
